,Series ID,Year,Value,LOCATION,dum
262,Older than 15,1974,0.612507410787442,USA,0.0
263,Older than 15,1975,0.612298731995247,USA,0.0
264,Older than 15,1976,0.615818123599103,USA,0.0
265,Older than 15,1977,0.622563444754647,USA,0.0
266,Older than 15,1978,0.631542865613014,USA,0.0
267,Older than 15,1979,0.636669679305597,USA,0.0
268,Older than 15,1980,0.637464756829575,USA,0.0
269,Older than 15,1981,0.6387564730292901,USA,0.0
270,Older than 15,1982,0.6396997788394,USA,0.0
271,Older than 15,1983,0.640308582449373,USA,0.0
272,Older than 15,1984,0.643735507390168,USA,0.0
273,Older than 15,1985,0.647909453612933,USA,0.0
274,Older than 15,1986,0.6525018273639439,USA,0.0
275,Older than 15,1987,0.6558671445377691,USA,0.0
276,Older than 15,1988,0.6590560692483111,USA,0.0
277,Older than 15,1989,0.664577878878922,USA,0.0
278,Older than 15,1990,0.6652446277059709,USA,0.0
279,Older than 15,1991,0.6617519968574049,USA,0.0
280,Older than 15,1992,0.664422603148259,USA,0.0
281,Older than 15,1993,0.66312353403101,USA,0.0
282,Older than 15,1994,0.665885903585074,USA,0.0
283,Older than 15,1995,0.6662268863553961,USA,0.0
284,Older than 15,1996,0.66773682163973,USA,0.0
285,Older than 15,1997,0.670964343558161,USA,0.0
286,Older than 15,1998,0.670850733104964,USA,0.0
287,Older than 15,1999,0.6708447050102759,USA,0.0
288,Older than 15,2000,0.6707404846243951,USA,0.0
289,Older than 15,2001,0.6682411793968189,USA,0.0
290,Older than 15,2002,0.665822493910006,USA,0.0
291,Older than 15,2003,0.662433139968622,USA,0.0
292,Older than 15,2004,0.659919680872497,USA,0.0
293,Older than 15,2005,0.6604477116811079,USA,0.0
294,Older than 15,2006,0.661795169875969,USA,0.0
295,Older than 15,2007,0.6603843566166959,USA,0.0
296,Older than 15,2008,0.659935497117046,USA,0.0
297,Older than 15,2009,0.653703758677868,USA,0.0
298,Older than 15,2010,0.647039284197602,USA,0.0
299,Older than 15,2011,0.64108021484106,USA,0.0
300,Older than 15,2012,0.637001870234499,USA,0.0
301,Older than 15,2013,0.632483850878586,USA,0.0
302,Older than 15,2014,0.628856166842108,USA,0.0
303,Older than 15,2015,0.626516640683251,USA,0.0
304,Older than 15,2016,0.6278782667686901,USA,0.0
305,Older than 15,2017,0.628519007836788,USA,0.0
306,Older than 15,2018,0.628715732634054,USA,0.0
307,Older than 15,2019,0.630995512649852,USA,0.0
308,Older than 15,2020,0.617455671306967,USA,0.0
309,Older than 15,2021,0.616576208562347,USA,0.0
311,25-64,1961,0.675540229336452,USA,0.0
