,Year,cume,Country,Million tonnes of carbon dioxide
334,2014,36277.68732163333,India,2090.728852616615
335,2015,38424.22519415553,India,2146.537872522198
336,2016,40665.719475211605,India,2241.494281056076
337,2017,42985.95927992877,India,2320.239804717166
338,2018,45428.556639055896,India,2442.597359127122
339,2019,47894.33456271556,India,2465.777923659664
340,2020,50175.575680889255,India,2281.241118173695
341,2021,52728.40851443228,India,2552.832833543024
342,1965,204.86931277739433,Italy,204.86931277739433
343,1966,427.5515354198648,Italy,222.6822226424705
344,1967,673.7335997240231,Italy,246.18206430415827
345,1968,940.2016743210448,Italy,266.46807459702177
346,1969,1228.4742953595382,Italy,288.2726210384935
347,1970,1548.88348522268,Italy,320.4091898631418
348,1971,1891.1941632842022,Italy,342.31067806152197
349,1972,2248.9538955173643,Italy,357.7597322331623
350,1973,2623.7879416306523,Italy,374.83404611328774
351,1974,2998.7191732456376,Italy,374.9312316149854
352,1975,3367.462461231912,Italy,368.74328798627437
353,1976,3751.809024777764,Italy,384.34656354585195
354,1977,4130.546677499574,Italy,378.7376527218098
355,1978,4507.704517144156,Italy,377.1578396445824
356,1979,4896.549147961217,Italy,388.8446308170617
357,1980,5279.7336760073495,Italy,383.1845280461316
358,1981,5653.783940521909,Italy,374.0502645145597
359,1982,6024.368797883378,Italy,370.5848573614688
360,1983,6377.50034454376,Italy,353.1315466603821
361,1984,6732.955741868403,Italy,355.4553973246426
362,1985,7087.345809194088,Italy,354.39006732568595
363,1986,7449.900192754295,Italy,362.5543835602066
364,1987,7828.059129526708,Italy,378.1589367724122
365,1988,8211.90791084785,Italy,383.84878132114403
366,1989,8615.12467591445,Italy,403.2167650665998
367,1990,9018.905421281925,Italy,403.7807453674734
368,1991,9426.100192523387,Italy,407.19477124146204
369,1992,9829.71637608582,Italy,403.61618356243446
370,1993,10226.225414881468,Italy,396.509038795647
371,1994,10619.60389777827,Italy,393.37848289680124
372,1995,11032.719479739548,Italy,413.11558196127874
373,1996,11440.582338750148,Italy,407.862859010599
374,1997,11855.043641935112,Italy,414.46130318496546
375,1998,12281.357229249208,Italy,426.31358731409574
376,1999,12708.570389147822,Italy,427.2131598986136
377,2000,13142.94889213188,Italy,434.37850298405823
378,2001,13572.46527472846,Italy,429.5163825965807
379,2002,14005.476532038287,Italy,433.0112573098254
380,2003,14456.2849527268,Italy,450.8084206885153
381,2004,14924.576399788628,Italy,468.2914470618261
382,2005,15394.77302527533,Italy,470.19662548670175
383,2006,15861.853637632283,Italy,467.0806123569533
384,2007,16319.887566352309,Italy,458.0339287200256
385,2008,16762.365498740237,Italy,442.4779323879299
386,2009,17153.900872684335,Italy,391.5353739440953
387,2010,17551.017012230917,Italy,397.11613954658515
388,2011,17939.563826764756,Italy,388.5468145338364
389,2012,18310.54953149221,Italy,370.9857047274543
390,2013,18651.92161387965,Italy,341.37208238744023
391,2014,18970.714577559003,Italy,318.7929636793542
392,2015,19305.09027978316,Italy,334.3757022241554
393,2016,19636.492022301813,Italy,331.40174251865517
394,2017,19971.953157774708,Italy,335.46113547289394
395,2018,20308.035517814216,Italy,336.0823600395067
396,2019,20636.588865306374,Italy,328.5533474921587
397,2020,20920.383856886834,Italy,283.79499158046127
398,2021,21231.553357754543,Italy,311.16950086770834
399,1965,446.89827084320245,Japan,446.89827084320245
400,1966,939.7123207411227,Japan,492.8140498979202
401,1967,1517.8667825264915,Japan,578.154461785369
402,1968,2159.508856557716,Japan,641.6420740312243
