,Exajoules,value,Year,Totals,China Percentages
124,Hydro,0.4642422882580647,1975,13.249589529948329,0.03503823927592081
125,Hydro,0.47045225806451624,1976,13.949375658055668,0.0337256856218388
126,Hydro,0.49110511219354847,1977,15.210548255582928,0.03228714073559391
127,Hydro,0.4601493536129032,1978,16.675318015205825,0.027594637367233655
128,Hydro,0.516885895935484,1979,17.178572642484156,0.030088989736969104
129,Hydro,0.6197738047741935,1980,17.37912239339829,0.03566197364543698
130,Hydro,0.697398427354839,1981,17.149859241277674,0.040664965090575426
131,Hydro,0.7921475121290323,1982,17.916732915734507,0.04421272091595265
132,Hydro,0.9199223454193549,1983,19.071713671483632,0.04823490753192458
133,Hydro,0.9241564157419354,1984,20.466520585737058,0.04515454455829546
134,Hydro,0.983480445483871,1985,22.141335434107702,0.04441829845406998
135,Hydro,1.006485560903226,1986,23.198782343851896,0.04338527539873071
136,Hydro,1.0647745956774193,1987,25.02086013121654,0.04255547531513453
137,Hydro,1.162111167870968,1988,26.881603695734814,0.043230723175022294
138,Hydro,1.260482735032258,1989,28.211171320794264,0.0446802694116839
139,Hydro,1.3492100309032258,1990,28.57836046758187,0.047210896945390365
140,Hydro,1.3273340009032262,1991,30.01606171245918,0.044220791308950146
141,Hydro,1.3911743723225811,1992,31.586514615945635,0.04404330104912185
142,Hydro,1.616426913483871,1993,34.048686343514674,0.047473987606331106
143,Hydro,1.7823083796774195,1994,36.180869954015336,0.04926107033752017
144,Hydro,2.0287548387096774,1995,37.30406716473098,0.05438428013092786
145,Hydro,2.000970967741935,1996,39.284295999858486,0.05093564532120273
146,Hydro,2.0862387096774193,1997,39.56322357796453,0.052731767561008065
147,Hydro,2.1172161290322578,1998,39.630398965061616,0.053424042763203256
148,Hydro,2.092625806451613,1999,41.018665861873245,0.05101642782576953
149,Hydro,2.3675903225806456,2000,42.51003967824351,0.05569485092229566
150,Hydro,2.9341099078341006,2001,44.921432357716256,0.06531648155092948
151,Hydro,3.025932424557752,2002,48.91269577247728,0.06186394711575918
152,Hydro,2.9617459057071955,2003,56.95946113354267,0.05199743548772906
153,Hydro,3.6676467146085874,2004,66.640277270754,0.05503648641357296
154,Hydro,4.092566012658226,2005,75.72861826123679,0.0540425285265384
155,Hydro,4.463955191722457,2006,83.01231736038308,0.053774612414962425
156,Hydro,4.939713580645159,2007,90.24356868303997,0.05473756914461994
157,Hydro,6.443620597074732,2008,93.7788064295026,0.06871084035302441
158,Hydro,6.189539139784943,2009,97.93987032825129,0.06319733852046501
159,Hydro,7.108200027429245,2010,104.80965895305357,0.06782008546190534
160,Hydro,6.833082621951215,2011,113.03932617268002,0.06044872039942036
161,Hydro,8.516612827741927,2012,117.68627878586848,0.07236708404416457
162,Hydro,8.924664532445775,2013,122.15133451667884,0.07306235799844805
163,Hydro,10.334910646764527,2014,125.80632594302067,0.08214937181652808
164,Hydro,10.804893058928563,2015,127.54571416704651,0.0847138857584615
165,Hydro,11.114425668066415,2016,129.76644998272914,0.0856494546128499
166,Hydro,11.162074354838708,2017,134.4236529003428,0.08303653496988284
167,Hydro,11.418940696095072,2018,139.83710972109768,0.08165887237565136
168,Hydro,12.075750116160746,2019,145.10780826962772,0.08321916139566075
169,Hydro,12.49628438077683,2020,149.0528366377736,0.08383795077409462
170,Hydro,12.246048091933515,2021,159.49210028143003,0.07678153382095343
171,Nuclear,0.0,1965,5.5302993244570375,0.0
172,Nuclear,0.0,1966,6.009508456929775,0.0
173,Nuclear,0.0,1967,5.403846454714531,0.0
174,Nuclear,0.0,1968,5.460105295725378,0.0
175,Nuclear,0.0,1969,6.642670196667143,0.0
176,Nuclear,0.0,1970,8.502114260524122,0.0
177,Nuclear,0.0,1971,10.080447048624894,0.0
178,Nuclear,0.0,1972,10.86781164008193,0.0
179,Nuclear,0.0,1973,11.472815063972597,0.0
180,Nuclear,0.0,1974,11.83234213373537,0.0
181,Nuclear,0.0,1975,13.249589529948329,0.0
182,Nuclear,0.0,1976,13.949375658055668,0.0
183,Nuclear,0.0,1977,15.210548255582928,0.0
184,Nuclear,0.0,1978,16.675318015205825,0.0
185,Nuclear,0.0,1979,17.178572642484156,0.0
186,Nuclear,0.0,1980,17.37912239339829,0.0
187,Nuclear,0.0,1981,17.149859241277674,0.0
188,Nuclear,0.0,1982,17.916732915734507,0.0
189,Nuclear,0.0,1983,19.071713671483632,0.0
190,Nuclear,0.0,1984,20.466520585737058,0.0
191,Nuclear,0.0,1985,22.141335434107702,0.0
192,Nuclear,0.0,1986,23.198782343851896,0.0
193,Nuclear,0.0,1987,25.02086013121654,0.0
194,Nuclear,0.0,1988,26.881603695734814,0.0
195,Nuclear,0.0,1989,28.211171320794264,0.0
