,Year,cume,Country,Million tonnes of carbon dioxide
306,1986,9529.706644148917,France,369.91411300478114
307,1987,9892.080473191774,France,362.37382904285664
308,1988,10251.219008912658,France,359.1385357208842
309,1989,10621.715980986466,France,370.4969720738079
310,1990,10988.957222038429,France,367.2412410519632
311,1991,11379.621924456265,France,390.664702417836
312,1992,11759.06509588881,France,379.44317143254517
313,1993,12121.095179933602,France,362.03008404479203
314,1994,12469.837989040423,France,348.74280910682097
315,1995,12825.999350809272,France,356.1613617688484
316,1996,13198.535029562892,France,372.53567875361983
317,1997,13559.6927741842,France,361.1577446213071
318,1998,13944.55689750209,France,384.8641233178914
319,1999,14328.919943616786,France,384.36304611469615
320,2000,14710.419721269443,France,381.4997776526581
321,2001,15093.827186862947,France,383.4074655935026
322,2002,15473.957646587458,France,380.1304597245107
323,2003,15861.12058282607,France,387.16293623861225
324,2004,16250.229184457112,France,389.10860163104144
325,2005,16639.99992480773,France,389.77074035061884
326,2006,17020.051750031314,France,380.0518252235839
327,2007,17390.516222400896,France,370.46447236958085
328,2008,17760.26300372991,France,369.74678132901363
329,2009,18115.06586731431,France,354.80286358440515
330,2010,18475.428028182498,France,360.36216086818246
331,2011,18809.575525252847,France,334.14749707034997
332,2012,19145.13881213411,France,335.5632868812644
333,2013,19480.067443036845,France,334.92863090273477
334,2014,19781.576081744268,France,301.5086387074239
335,2015,20089.058598368298,France,307.48251662402765
336,2016,20402.14402599298,France,313.0854276246825
337,2017,20719.962331880648,France,317.8183058876699
338,2018,21026.65630764044,France,306.6939757597942
339,2019,21325.943395059134,France,299.2870874186887
340,2020,21577.49350925367,France,251.5501141945378
341,2021,21851.045065719427,France,273.5515564657559
342,1965,910.4138464407083,Germany,910.4138464407083
343,1966,1811.451644454541,Germany,901.0377980138328
344,1967,2703.867764934519,Germany,892.4161204799782
345,1968,3648.6231578959632,Germany,944.7553929614439
346,1969,4660.547529096707,Germany,1011.9243712007434
347,1970,5703.941797758297,Germany,1043.3942686615903
348,1971,6749.063071787379,Germany,1045.1212740290819
349,1972,7816.389775125634,Germany,1067.3267033382542
350,1973,8932.8141708024,Germany,1116.424395676766
351,1974,10018.134640308068,Germany,1085.3204695056695
352,1975,11043.434347548164,Germany,1025.299707240095
353,1976,12136.84612071997,Germany,1093.4117731718065
354,1977,13209.359742494325,Germany,1072.513621774355
355,1978,14262.105239034247,Germany,1052.7454965399209
356,1979,15366.30031757453,Germany,1104.1950785402844
357,1980,16444.11090643116,Germany,1077.8105888566306
358,1981,17488.014080220473,Germany,1043.9031737893115
359,1982,18491.347311132027,Germany,1003.3332309115536
360,1983,19509.297988492333,Germany,1017.9506773603072
361,1984,20547.632995976554,Germany,1038.3350074842213
362,1985,21593.44690426765,Germany,1045.8139082910973
363,1986,22630.714230430898,Germany,1037.2673261632472
364,1987,23662.145510397608,Germany,1031.4312799667077
365,1988,24679.16087192441,Germany,1017.0153615268052
366,1989,25682.975966670696,Germany,1003.8150947462854
367,1990,26690.581848031325,Germany,1007.6058813606267
368,1991,27660.285058296555,Germany,969.7032102652292
369,1992,28584.00084471277,Germany,923.7157864162161
370,1993,29500.273280960915,Germany,916.2724362481443
371,1994,30397.204792380086,Germany,896.9315114191718
372,1995,31286.605761255098,Germany,889.400968875013
373,1996,32201.45029887827,Germany,914.8445376231701
374,1997,33089.44365420749,Germany,887.9933553292259
375,1998,33968.47983852572,Germany,879.0361843182287
376,1999,34824.39530940935,Germany,855.9154708836261
377,2000,35678.82362341388,Germany,854.4283140045347
378,2001,36550.496177374866,Germany,871.6725539609845
379,2002,37409.54349535437,Germany,859.0473179795054
380,2003,38271.53490811486,Germany,861.9914127604876
381,2004,39119.06067483928,Germany,847.5257667244227
382,2005,39945.3783048692,Germany,826.3176300299153
383,2006,40789.15545289808,Germany,843.7771480288787
384,2007,41600.22365805904,Germany,811.0682051609639
385,2008,42409.59207149801,Germany,809.3684134389683
386,2009,43163.18192285025,Germany,753.5898513522395
387,2010,43946.34518309148,Germany,783.1632602412282
388,2011,44710.03509695058,Germany,763.6899138591006
389,2012,45483.036360645565,Germany,773.0012636949873
390,2013,46280.60790362827,Germany,797.5715429827006
391,2014,47031.68872106282,Germany,751.0808174345498
392,2015,47787.31971933245,Germany,755.6309982696362
393,2016,48557.776897912925,Germany,770.4571785804729
394,2017,49318.725549884664,Germany,760.9486519717361
395,2018,50051.837734924185,Germany,733.1121850395228
396,2019,50731.9137762673,Germany,680.0760413431141
397,2020,51332.6987768822,Germany,600.7850006148996
398,2021,51961.59376487555,Germany,628.8949879933527
399,1965,167.4509926325685,India,167.4509926325685
400,1966,337.4754725868166,India,170.02447995424808
401,1967,511.9455718175353,India,174.47009923071872
402,1968,694.4863737737589,India,182.54080195622367
403,1969,891.962807029193,India,197.476433255434
404,1970,1081.8588691616587,India,189.8960621324658
405,1971,1288.4443150161921,India,206.58544585453333
406,1972,1507.0120830942064,India,218.56776807801435
407,1973,1726.0274069729699,India,219.0153238787633
408,1974,1964.6239223168234,India,238.59651534385355
409,1975,2218.03014306364,India,253.40622074681653
410,1976,2481.874074419221,India,263.84393135558116
411,1977,2759.498429336523,India,277.6243549173019
412,1978,3036.057951305752,India,276.55952196922897
413,1979,3331.9758850022313,India,295.9179336964796
414,1980,3642.301788141117,India,310.3259031388854
415,1981,3982.1358904383123,India,339.8341022971957
416,1982,4323.912472090167,India,341.7765816518546
417,1983,4688.521150218544,India,364.60867812837654
418,1984,5074.5248803921895,India,386.003730173646
419,1985,5483.529404672661,India,409.0045242804712
420,1986,5921.464525180292,India,437.9351205076316
421,1987,6396.259594961526,India,474.7950697812337
422,1988,6908.009936423914,India,511.7503414623875
423,1989,7466.979797149215,India,558.9698607253013
424,1990,8069.043806104334,India,602.0640089551196
425,1991,8703.924505373827,India,634.8806992694922
426,1992,9375.840894958592,India,671.916389584766
427,1993,10069.885835805684,India,694.0449408470921
428,1994,10794.672372087389,India,724.7865362817046
429,1995,11568.089093527802,India,773.4167214404133
430,1996,12380.541744273303,India,812.4526507455012
431,1997,13235.518544846575,India,854.9768005732708
432,1998,14131.215960516387,India,895.6974156698129
433,1999,15045.521735283166,India,914.3057747667782
434,2000,16005.300135308937,India,959.7784000257705
435,2001,16973.94337723672,India,968.6432419277813
436,2002,17982.524671876956,India,1008.5812946402369
437,2003,19031.90703275619,India,1049.3823608792338
438,2004,20144.023685568074,India,1112.1166528118856
439,2005,21344.269109465076,India,1200.245423897003
440,2006,22596.127768447797,India,1251.8586589827216
441,2007,23958.810477951076,India,1362.682709503278
442,2008,25420.781287099686,India,1461.9708091486107
443,2009,27014.93585949876,India,1594.1545723990728
444,2010,28663.248586997546,India,1648.3127274987876
445,2011,30391.599094016754,India,1728.3505070192073
446,2012,32252.994153982647,India,1861.3950599658904
447,2013,34186.95846901672,India,1933.964315034074
448,2014,36277.68732163333,India,2090.728852616615
449,2015,38424.22519415553,India,2146.537872522198
450,2016,40665.719475211605,India,2241.494281056076
451,2017,42985.95927992877,India,2320.239804717166
452,2018,45428.556639055896,India,2442.597359127122
453,2019,47894.33456271556,India,2465.777923659664
454,2020,50175.575680889255,India,2281.241118173695
455,2021,52728.40851443228,India,2552.832833543024
456,1965,21.226315119451453,Iran,21.226315119451453
457,1966,44.66042889390288,Iran,23.43411377445143
458,1967,70.77532020350154,Iran,26.114891309598658
459,1968,99.81918786697804,Iran,29.0438676634765
460,1969,131.9319899365961,Iran,32.11280206961806
461,1970,169.68115705441528,Iran,37.749167117819184
462,1971,210.55218158015694,Iran,40.871024525741646
463,1972,256.65233896867926,Iran,46.100157388522355
464,1973,313.15854518921776,Iran,56.50620622053845
465,1974,376.44680350216595,Iran,63.28825831294819
466,1975,450.841866097325,Iran,74.3950625951591
467,1976,535.8531559812931,Iran,85.01128988396803
468,1977,631.9042577239663,Iran,96.05110174267331
469,1978,725.2463112282783,Iran,93.34205350431195
470,1979,827.2888896612275,Iran,102.04257843294916
471,1980,922.368889264066,Iran,95.07999960283841
472,1981,1019.4329637327577,Iran,97.06407446869183
473,1982,1128.864851347873,Iran,109.43188761511526
474,1983,1259.0245666223873,Iran,130.15971527451424
475,1984,1399.843498066157,Iran,140.81893144376986
476,1985,1553.6599396274746,Iran,153.81644156131756
477,1986,1697.4102129595537,Iran,143.7502733320791
478,1987,1850.121243822352,Iran,152.7110308627981
479,1988,2004.5224238557569,Iran,154.40118003340496
480,1989,2173.612054703389,Iran,169.08963084763187
481,1990,2355.3865492517007,Iran,181.77449454831176
482,1991,2556.857690769968,Iran,201.47114151826747
483,1992,2774.693178551255,Iran,217.83548778128724
484,1993,2977.401568352451,Iran,202.70838980119558
485,1994,3204.8298069350553,Iran,227.4282385826048
486,1995,3441.4199278452525,Iran,236.59012091019716
487,1996,3692.4738456430005,Iran,251.05391779774774
488,1997,3952.2409747408688,Iran,259.7671290978683
489,1998,4220.132846086199,Iran,267.8918713453298
490,1999,4509.681312051837,Iran,289.5484659656386
491,2000,4814.573610804849,Iran,304.89229875301174
492,2001,5138.463635186432,Iran,323.8900243815832
493,2002,5489.4015211192645,Iran,350.9378859328321
494,2003,5844.3777286618915,Iran,354.9762075426275
495,2004,6231.463762199378,Iran,387.08603353748634
496,2005,6640.5556411507505,Iran,409.0918789513721
497,2006,7084.010165144397,Iran,443.4545239936474
498,2007,7553.549251161761,Iran,469.5390860173638
499,2008,8041.958593646957,Iran,488.4093424851956
500,2009,8537.454381839194,Iran,495.49578819223717
501,2010,9042.300265737711,Iran,504.84588389851734
502,2011,9559.337890032766,Iran,517.0376242950546
503,2012,10082.00262974218,Iran,522.6647397094129
504,2013,10627.198072517795,Iran,545.195442775615
505,2014,11184.37639130843,Iran,557.1783187906359
506,2015,11735.343284375722,Iran,550.9668930672926
507,2016,12305.143048264814,Iran,569.7997638890905
508,2017,12886.277223222953,Iran,581.1341749581403
509,2018,13492.327812891499,Iran,606.0505896685464
510,2019,14120.400420170454,Iran,628.0726072789547
511,2020,14765.81652424247,Iran,645.4161040720145
512,2021,15426.324457259181,Iran,660.5079330167116
513,1965,204.86931277739433,Italy,204.86931277739433
514,1966,427.5515354198648,Italy,222.6822226424705
515,1967,673.7335997240231,Italy,246.18206430415827
516,1968,940.2016743210448,Italy,266.46807459702177
517,1969,1228.4742953595382,Italy,288.2726210384935
518,1970,1548.88348522268,Italy,320.4091898631418
519,1971,1891.1941632842022,Italy,342.31067806152197
520,1972,2248.9538955173643,Italy,357.7597322331623
521,1973,2623.7879416306523,Italy,374.83404611328774
522,1974,2998.7191732456376,Italy,374.9312316149854
523,1975,3367.462461231912,Italy,368.74328798627437
524,1976,3751.809024777764,Italy,384.34656354585195
525,1977,4130.546677499574,Italy,378.7376527218098
526,1978,4507.704517144156,Italy,377.1578396445824
527,1979,4896.549147961217,Italy,388.8446308170617
528,1980,5279.7336760073495,Italy,383.1845280461316
529,1981,5653.783940521909,Italy,374.0502645145597
530,1982,6024.368797883378,Italy,370.5848573614688
531,1983,6377.50034454376,Italy,353.1315466603821
532,1984,6732.955741868403,Italy,355.4553973246426
533,1985,7087.345809194088,Italy,354.39006732568595
534,1986,7449.900192754295,Italy,362.5543835602066
535,1987,7828.059129526708,Italy,378.1589367724122
536,1988,8211.90791084785,Italy,383.84878132114403
537,1989,8615.12467591445,Italy,403.2167650665998
538,1990,9018.905421281925,Italy,403.7807453674734
539,1991,9426.100192523387,Italy,407.19477124146204
540,1992,9829.71637608582,Italy,403.61618356243446
541,1993,10226.225414881468,Italy,396.509038795647
542,1994,10619.60389777827,Italy,393.37848289680124
543,1995,11032.719479739548,Italy,413.11558196127874
544,1996,11440.582338750148,Italy,407.862859010599
545,1997,11855.043641935112,Italy,414.46130318496546
546,1998,12281.357229249208,Italy,426.31358731409574
547,1999,12708.570389147822,Italy,427.2131598986136
548,2000,13142.94889213188,Italy,434.37850298405823
549,2001,13572.46527472846,Italy,429.5163825965807
550,2002,14005.476532038287,Italy,433.0112573098254
551,2003,14456.2849527268,Italy,450.8084206885153
552,2004,14924.576399788628,Italy,468.2914470618261
553,2005,15394.77302527533,Italy,470.19662548670175
