,Year,Cumulative global emissions,cume,Country,Million tonnes of carbon dioxide,ranked,pct
241,1978,17590.068223007984,14262.105239034247,Germany,1052.7454965399209,7.0,0.05984885807110852
242,1979,18128.59181285465,15366.30031757453,Germany,1104.1950785402844,7.0,0.060909037499389224
243,1980,17930.641592885288,16444.11090643116,Germany,1077.8105888566306,7.0,0.060109984535316116
244,1981,17685.978926646443,17488.014080220473,Germany,1043.9031737893115,7.0,0.059024336629538945
245,1982,17515.03577723725,18491.347311132027,Germany,1003.3332309115536,7.0,0.05728410970279018
246,1983,17637.730050881328,19509.297988492333,Germany,1017.9506773603072,7.0,0.057714381296443636
247,1984,18313.856728539686,20547.632995976554,Germany,1038.3350074842213,7.0,0.05669668726118817
248,1985,18578.96389625685,21593.44690426765,Germany,1045.8139082910973,7.0,0.05629021694271121
249,1986,18896.077293196173,22630.714230430898,Germany,1037.2673261632472,7.0,0.05489326224002753
250,1987,19498.72349879714,23662.145510397608,Germany,1031.4312799667077,7.0,0.052897374539945446
251,1988,20144.453079073286,24679.16087192441,Germany,1017.0153615268052,7.0,0.0504861242712672
252,1989,20522.94924718655,25682.975966670696,Germany,1003.8150947462854,7.0,0.04891183438870982
253,1990,20674.113562623403,26690.581848031325,Germany,1007.6058813606267,7.0,0.04873756150697899
254,1991,20723.465039529678,27660.285058296555,Germany,969.7032102652292,7.0,0.04679252279556222
255,1992,20836.666016816507,28584.00084471277,Germany,923.7157864162161,7.0,0.044331266128214517
256,1993,20924.77615374221,29500.273280960915,Germany,916.2724362481443,7.0,0.04378887637869795
257,1994,21170.297454490697,30397.204792380086,Germany,896.9315114191718,7.0,0.04236744964719012
258,1995,21463.942458949707,31286.605761255098,Germany,889.400968875013,7.0,0.041436980674729874
259,1996,22062.89643347672,32201.45029887827,Germany,914.8445376231701,7.0,0.0414652962897042
260,1997,22204.1288262245,33089.44365420749,Germany,887.9933553292259,7.0,0.03999226280296342
261,1998,22260.472883029448,33968.47983852572,Germany,879.0361843182287,7.0,0.03948865726874891
262,1999,22556.99387282719,34824.39530940935,Germany,855.9154708836261,7.0,0.03794457167959276
263,2000,23069.955730710037,35678.82362341388,Germany,854.4283140045347,7.0,0.03703640891114261
264,2001,23358.915198294562,36550.496177374866,Germany,871.6725539609845,7.0,0.03731648266031744
265,2002,23900.876789866597,37409.54349535437,Germany,859.0473179795054,7.0,0.035942083862953556
266,2003,25085.058243243737,38271.53490811486,Germany,861.9914127604876,7.0,0.03436274312787978
267,2004,26397.309142709997,39119.06067483928,Germany,847.5257667244227,7.0,0.032106521242089535
268,2005,27455.05955427274,39945.3783048692,Germany,826.3176300299153,7.0,0.030097098438139003
269,2006,28316.292827953377,40789.15545289808,Germany,843.7771480288787,7.0,0.029798291505020596
270,2007,29344.75498252213,41600.22365805904,Germany,811.0682051609639,7.0,0.027639290416431823
271,2008,29606.081556748075,42409.59207149801,Germany,809.3684134389683,7.0,0.02733791068863992
272,2009,28966.792092613676,43163.18192285025,Germany,753.5898513522395,7.0,0.02601564746772217
273,2010,30301.741784820064,43946.34518309148,Germany,783.1632602412282,7.0,0.025845486566503612
274,2011,31194.973024475086,44710.03509695058,Germany,763.6899138591006,7.0,0.02448118526212289
275,2012,31530.749508551926,45483.036360645565,Germany,773.0012636949873,7.0,0.024515790957818178
276,2013,32010.37744731882,46280.60790362827,Germany,797.5715429827006,7.0,0.0249160305683776
277,2014,32119.310836364788,47031.68872106282,Germany,751.0808174345498,7.0,0.023384088819993994
278,2015,32128.2396330235,47787.31971933245,Germany,755.6309982696362,7.0,0.02351921570869228
279,2016,32290.036368734018,48557.776897912925,Germany,770.4571785804729,7.0,0.02386052371642714
280,2017,32649.346419607627,49318.725549884664,Germany,760.9486519717361,7.0,0.023306703974776872
281,2018,33357.08931424396,50051.837734924185,Germany,733.1121850395228,7.0,0.021977702494757938
282,2019,33290.92122968449,50731.9137762673,Germany,680.0760413431141,7.0,0.02042827342178537
283,2020,31341.989193406283,51332.6987768822,Germany,600.7850006148996,7.0,0.01916869401324701
284,2021,33139.76772360828,51961.59376487555,Germany,628.8949879933527,7.0,0.018977048760222215
285,1965,11001.518840048726,167.4509926325685,India,167.4509926325685,6.0,0.015220715890882105
286,1966,11497.002495872768,337.4754725868166,India,170.02447995424808,6.0,0.014788592071305893
287,1967,11851.263252096604,511.9455718175353,India,174.47009923071872,6.0,0.014721645745220727
288,1968,12483.67243368634,694.4863737737589,India,182.54080195622367,6.0,0.014622363965883128
289,1969,13255.523020558425,891.962807029193,India,197.476433255434,6.0,0.014897671932609624
290,1970,14033.98414552271,1081.8588691616587,India,189.8960621324658,6.0,0.013531158376935228
291,1971,14481.784815768166,1288.4443150161921,India,206.58544585453333,6.0,0.014265192342148146
292,1972,15165.882364461551,1507.0120830942064,India,218.56776807801435,6.0,0.014411806898238089
293,1973,16016.650206785453,1726.0274069729699,India,219.0153238787633,6.0,0.013674227822368093
294,1974,15911.427837435984,1964.6239223168234,India,238.59651534385355,6.0,0.014995292552092027
295,1975,15879.888805750468,2218.03014306364,India,253.40622074681653,6.0,0.015957682314189276
296,1976,16725.956476515323,2481.874074419221,India,263.84393135558116,6.0,0.01577451978462581
297,1977,17256.431650625585,2759.498429336523,India,277.6243549173019,6.0,0.016088167040445894
298,1978,17590.068223007984,3036.057951305752,India,276.55952196922897,6.0,0.015722481485744687
299,1979,18128.59181285465,3331.9758850022313,India,295.9179336964796,6.0,0.01632327192047259
